"","Region","Hindus","Total","pct"
"1","India",966257353,1210854977,79.8
"2","Himachal Pradesh",6532765,6864602,95.17
"3","Dadra and Nagar Haveli",322857,343709,93.93
"4","Odisha",39300341,41974218,93.63
"5","Chhattisgarh",23819789,25545198,93.25
"6","Madhya Pradesh",66007121,72626809,90.89
"7","Daman and Diu",220150,243247,90.5
"8","Gujarat",53533988,60439692,88.57
"9","Rajasthan",60657103,68548437,88.49
"10","Andhra Pradesh",74824149,84580777,90.89
"11","Tamil Nadu",63188168,72147030,87.58
"12","Haryana",22171128,25351462,87.46
"13","Puducherry",1089409,1247953,87.3
"14","Karnataka",51317472,61095297,84
"15","Tripura",3063903,3673917,83.4
"16","Uttarakhand",8368636,10086292,82.97
"17","Bihar",86078686,104099452,82.69
"18","Delhi",13712100,16787941,81.68
"19","Chandigarh",852574,1055450,80.78
"20","Maharashtra",89703056,112374333,79.83
"21","Uttar Pradesh",159312654,199812341,79.73
"22","West Bengal",64385546,91276115,70.54
"23","Andaman and Nicobar Islands",264296,380581,69.45
"24","Jharkhand",22376051,32988134,67.83
"25","Goa",963877,1458545,66.08
"26","Assam",19180759,31205576,61.47
"27","Sikkim",352662,610577,57.76
"28","Kerala",18282492,33406061,54.73
"29","Manipur",1181876,2855794,41.39
"30","Punjab",10678138,27743338,38.49
"31","Arunachal Pradesh",401876,1383727,29.04
"32","Jammu and Kashmir",3566674,12541302,28.44
"33","Meghalaya",342078,2966889,11.53
"34","Nagaland",173054,1978502,8.75
"35","Lakshadweep",1788,64473,2.77
"36","Mizoram",30136,1097206,2.75
