S.No.,State,2018-19 - 1st Period (Dec 18-March 19),2019-20 - 2nd Period (April-July 19),2019-20 - 3rd Period (Aug-Nov 19),2019-20 - 4th Period (Dec 19-Mach 20),2020-21 - 5th period (April-July 20),2020-21 - 6th Period (Aug-Nov 20),2020-21 - 7th Period (Dec 20-Mach 21),2021-22 - 8th Period (April-July 21),2021-22 - 9th Period (Aug-Nov 21),2021-22 - 10th Period (Dec 21-March 22),2022-23 - 11th Period (April-July 22),2022-23 - 12th Period (Aug-Nov 22)
1,Andaman and Nicobar Islands,10107,13714,15915,16139,15971,16254,16108,16075,15593,15088,14952,9722
2,Andhra Pradesh,3316854,4175716,4204714,4741080,4757261,4690280,4535190,4461131,4428717,4461369,4400538,4000222
3,Arunachal Pradesh,1815,6988,42724,62878,89275,90141,91854,91856,92706,92968,94565,NA
4,Assam,1155390,2453735,2112058,2008024,1891762,1220266,1389701,1281363,927499,1082149,690096,461430
5,Bihar,250811,2620798,4552073,6063908,6955358,7538392,7680555,7922156,8094029,8248528,8305227,8162683
6,Chandigarh,49,244,452,429,430,430,402,386,378,389,5,NA
7,Chhattisgarh,113035,1063512,1624918,1845570,2479757,2640347,2917455,2848124,3024356,2771026,2727726,1975340
8,Delhi,NA,NA,11534,12452,13331,14043,13690,13967,14490,14615,14882,12165
9,Goa,2439,4260,6595,7491,8339,9144,8757,9260,9127,8302,8541,6610
10,Gujarat,2858911,3960784,4689076,4870678,5295218,5567057,5401968,5540880,5605025,5842030,5874348,5179528
11,Haryana,966435,1249040,1429942,1547031,1686907,1824851,1842769,1740892,1845745,1865654,1841201,1277620
12,Himachal Pradesh,457027,736191,834563,865303,890915,909923,903949,908669,936706,941248,942080,551602
13,Jammu and Kashmir,457859,716273,865229,983481,1027697,1112726,1128427,871524,879824,1096743,1092353,417180
14,Jharkhand,563552,726754,1332679,708427,1518821,2277547,2255003,1580194,1628545,1659889,2225373,968588
15,Karnataka,19872,2963051,4666930,4947227,5114500,5219740,5281757,5175786,5212951,3453238,4920221,4966688
16,Kerala,957969,1864855,2704961,2690840,3001870,3352805,3464817,3357442,3482010,3544881,3461911,1934506
17,Ladakh,7144,10189,13421,14118,13889,13658,16474,16909,16996,17152,17310,16481
18,Lakshadweep,NA,NA,NA,1515,650,700,827,866,NA,NA,NA,NA
19,Madhya Pradesh,9288,2505965,4930776,6002195,7494202,7853490,7997108,8258434,8329288,8451865,8346911,8096775
20,Maharashtra,2184063,4523490,7146748,8633988,9697039,10519616,10390010,9234252,10252630,10444709,10125979,8987788
21,Manipur,31350,29244,90286,271283,454120,350654,356366,287213,277909,279983,364817,366207
22,Meghalaya,9307,26725,61412,98732,162523,177153,181428,180836,191115,186041,33087,19912
23,Mizoram,27075,52684,65532,62766,124447,131984,145309,100906,104170,96172,86498,87146
24,Nagaland,32301,86447,158367,185312,190781,195904,196710,174683,196902,199081,182479,195433
25,Odisha,973860,2992559,2848151,2517666,2102634,2276976,2493437,2946507,3203303,3278430,3310618,2094928
26,Puducherry,4264,5779,9106,9378,10198,10635,10343,10246,10245,10218,10157,9949
27,Punjab,1181102,1411655,2221609,2301313,1901758,1904579,1871649,1759801,1738610,1713808,1696355,205308
28,Rajasthan,64972,3834966,4782730,4778953,5706071,6314146,6640505,6854513,6967977,7140935,7110891,5470330
29,Sikkim,NA,1980,4007,1633,5645,6090,7914,9452,9754,9686,9486,955
30,Tamil Nadu,2161247,2970900,3374038,3437327,4304738,4408819,3751547,3773783,3709946,3673635,3192733,2206442
31,Telangana,2027850,3160187,3422274,3243799,3473585,3586243,3573758,3549402,3593134,3606120,3553279,3247854
32,Dadra and Nagar Haveli and Daman and Diu,7580,11183,13519,13556,14033,9410,9690,9829,7560,11298,12737,12233
33,Tripura,151863,180865,189194,183202,199345,210166,219008,212331,214747,219098,233191,231169
34,Uttar Pradesh,11193600,15146240,17513799,18181519,21310180,21904818,22815840,23716467,23923197,24168243,24091647,17959303
35,Uttarakhand,415378,525702,656234,696188,767887,833780,849078,836495,878336,891397,889304,663970
36,West Bengal,NA,NA,NA,NA,NA,NA,NA,2029595,3584688,4628605,4678407,4418341
Total,Total,31614369,60032675,76595566,82005401,92681137,97192767,98459403,99782225,103408208,104124593,104559905,84214408
